time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-06T06:30:17.000Z,46.8811,-112.5753,12.18,5.8,mww,,62,0.214,0.59,us,us10009757,2017-09-18T03:55:39.345Z,"11km SE of Lincoln, Montana",earthquake,5.5,3.9,0.021,212,reviewed,us,us
2017-03-29T15:15:23.470Z,25.7127,-110.0237,17,5.7,mww,,68,0.894,0.83,us,us20008vll,2017-06-16T23:08:02.040Z,"78km WSW of Higuera de Zaragoza, Mexico",earthquake,2.6,1.8,0.054,33,reviewed,us,us
2016-12-28T09:13:47.243Z,38.3777,-118.8957,8.8,5.5,ml,33,48.58,0.129,0.2187,nn,nn00570744,2017-03-23T22:52:06.040Z,"28km SW of Hawthorne, Nevada",earthquake,,2,0.26,18,reviewed,nn,nn
2016-12-28T08:22:12.208Z,38.3904,-118.8972,12.2,5.6,ml,43,42.44,0.123,0.1913,nn,nn00570710,2017-03-23T22:52:06.040Z,"26km SW of Hawthorne, Nevada",earthquake,,1.2,0.32,18,reviewed,nn,nn
2016-12-28T08:18:00.613Z,38.3755,-118.8989,11.3,5.6,ml,37,35.89,0.133,0.1599,nn,nn00570709,2017-05-29T01:23:58.277Z,"27km SW of Hawthorne, Nevada",earthquake,,1,0.35,20,reviewed,nn,nn
2016-09-03T12:02:44.400Z,36.4251,-96.9291,5.557,5.8,mww,,69,,0.7,us,us10006jxs,2017-09-14T23:28:11.289Z,"14km NW of Pawnee, Oklahoma",earthquake,1.2,6.1,,,reviewed,tul,us
2016-03-28T00:12:54.690Z,30.2073,-114.3078,10,5.5,mww,,107,0.95,0.94,us,us20005ct5,2016-11-10T22:14:48.591Z,"102km SSE of San Felipe, Mexico",earthquake,4.5,1.8,,,reviewed,us,us
2015-09-13T08:14:08.560Z,24.913,-109.6226,10,6.7,mww,,123,1.256,0.65,us,us20003j4u,2016-11-10T21:51:54.701Z,"95km SW of Topolobampo, Mexico",earthquake,6.6,2,,,reviewed,us,us
2015-09-13T07:57:33.460Z,24.8094,-109.5138,10,5.6,mww,,117,1.185,1.25,us,us20003j4t,2016-11-10T21:51:53.062Z,"99km SSW of Topolobampo, Mexico",earthquake,8.1,2,,,reviewed,us,us
2015-01-28T21:08:53.710Z,40.3178333,-124.6066667,16.881,5.72,mw,52,230,0.2459,0.13,nc,nc72387946,2017-03-17T23:30:23.342Z,"40km SW of Ferndale, California",earthquake,0.54,0.33,,13,reviewed,nc,nc
2014-08-24T10:20:44.070Z,38.2151667,-122.3123333,11.12,6.02,mw,369,28,0.03604,0.18,nc,nc72282711,2017-08-28T17:55:01.517Z,South Napa,earthquake,0.11,0.15,,0,reviewed,nc,nc
2014-08-10T18:46:17.970Z,27.6814,-111.6319,10,5.5,mww,,78,0.65,1.29,us,usb000s1qs,2015-01-30T06:50:12.322Z,"76km ENE of Santa Rosalia, Mexico",earthquake,,1.8,,,reviewed,us,us
2013-10-19T17:54:54.700Z,26.0913,-110.3209,9.45,6.6,mww,,44,1.98,1.1,us,usb000khbc,2015-01-29T01:46:26.874Z,"99km SW of Etchoropo, Mexico",earthquake,,3,,,reviewed,us,us
2013-05-24T03:47:08.180Z,40.1918333,-121.0595,7.968,5.69,mw,32,69,0.08649,0.08,nc,nc71996906,2017-06-12T19:08:39.938Z,"10km WNW of Greenville, California",earthquake,0.26,0.68,,5,reviewed,nc,nc
2013-01-13T16:28:26.220Z,25.891,-110.103,10,5.7,mww,429,60.1,,1.03,us,usp000jyce,2015-03-24T02:00:56.709Z,Gulf of California,earthquake,,,,,reviewed,us,us
2012-12-14T10:36:01.590Z,31.095,-119.66,13,6.3,mww,760,20.9,,1.29,us,usp000jwyb,2017-02-07T18:05:57.858Z,off the west coast of Baja California,earthquake,,,,,reviewed,us,us
2012-10-08T06:26:23.020Z,25.127,-109.574,14,5.9,mww,520,35.8,,1.11,us,usp000jtqn,2015-06-30T16:59:04.003Z,Gulf of California,earthquake,,,,,reviewed,us,us
2012-09-25T23:45:24.940Z,24.666,-110.173,10,6.3,mww,659,25.7,,1,us,usp000jsz4,2015-06-30T16:59:03.999Z,"Baja California Sur, Mexico",earthquake,,,,,reviewed,us,us
2012-04-12T07:15:48.500Z,28.696,-113.104,13,7,mww,474,95.9,,1.18,us,usp000jhr6,2015-06-30T16:59:03.952Z,"Baja California, Mexico",earthquake,,,,,reviewed,us,us
2012-04-12T07:06:00.570Z,28.837,-113.027,9,6,mwb,397,102.9,,1.15,us,usp000jhr3,2015-06-30T16:59:03.951Z,"Baja California, Mexico",earthquake,,,,,reviewed,us,us
2012-02-13T21:07:02.770Z,41.1431667,-123.7903333,27.358,5.6,mw,41,72,0.1766,0.27,nc,nc71734741,2017-03-17T22:11:21.182Z,Northern California,earthquake,0.43,1.19,,4,reviewed,nc,nc
2011-11-06T03:53:10.000Z,35.532,-96.765,5.2,5.7,mww,474,17.1,,,us,usp000jadn,2017-06-26T21:36:52.543Z,Oklahoma,earthquake,,,,,reviewed,tul,us
2011-08-23T17:51:04.250Z,37.9096667,-77.9363333,6,5.8,mw,23,80,,0.48,se,se609212,2017-06-27T17:03:00.855Z,"14km SSE of Louisa, Virginia",earthquake,1.9,2.4,,0,reviewed,se,se
2011-07-26T17:44:20.380Z,25.101,-109.525,12,6,mww,379,81.3,,1.19,us,usp000j5hr,2015-06-30T16:59:03.875Z,Gulf of California,earthquake,,,,,reviewed,us,us
2011-03-12T13:25:59.840Z,25.209,-109.82,12.6,5.6,mwc,145,118.6,,1.36,us,usp000hwfy,2015-05-13T18:53:59.000Z,Gulf of California,earthquake,,15.1,,,reviewed,us,gcmt
2010-10-21T17:53:13.570Z,24.696,-109.156,13,6.7,mwc,352,50.3,,1.21,us,usp000hncm,2017-04-13T22:25:36.705Z,Gulf of California,earthquake,,,,,reviewed,us,us
2010-06-15T04:26:58.240Z,32.705,-115.9113333,8.756,5.72,mw,45,71,0.05832,0.2,ci,ci14745580,2017-04-26T18:11:01.552Z,"8km ESE of Ocotillo, CA",earthquake,0.41,0.83,,7,reviewed,ci,ci
2010-04-04T22:50:17.120Z,32.0986667,-115.0481667,10.011,5.7,mw,5,296,0.7811,0.33,ci,ci31957759,2017-02-08T05:21:05.081Z,"12km SSW of Estacion Coahuila, B.C., MX",earthquake,3.14,31.61,,4,reviewed,ci,ci
2010-04-04T22:40:42.360Z,32.2861667,-115.2953333,9.987,7.2,mw,10,239,0.5137,0.11,ci,ci14607652,2017-08-29T18:24:31.570Z,"12km SW of Delta, B.C., MX",earthquake,1.81,31.61,,0,reviewed,ci,ci
2010-02-04T20:20:21.970Z,40.4123333,-124.9613333,23.048,5.88,mw,41,233,0.4802,0.19,nc,nc71348851,2017-03-17T21:31:07.422Z,"61km WSW of Ferndale, California",earthquake,1.42,7.41,,7,reviewed,nc,nc
2010-01-10T00:27:39.320Z,40.652,-124.6925,28.737,6.5,mw,51,220,0.3225,0.2,nc,nc71338066,2017-04-26T18:09:59.915Z,offshore Northern California,earthquake,0.55,1.31,,8,reviewed,nc,nc
2009-12-30T18:48:57.330Z,32.464,-115.1891667,5.971,5.8,mw,19,205,0.324,0.39,ci,ci14565620,2017-07-15T20:26:59.339Z,"12km N of Delta, B.C., MX",earthquake,1.83,31.61,,7,reviewed,ci,ci
2009-08-05T09:13:12.300Z,29.615,-113.789,10,5.8,mwc,223,47.8,,1.32,us,usp000h005,2016-11-10T02:15:45.318Z,"Baja California, Mexico",earthquake,,,,,reviewed,us,gcmt
2009-08-03T18:40:50.100Z,29.31,-113.728,10,6.2,mwc,234,48,,1.28,us,usp000gzyf,2017-04-26T18:09:24.520Z,"Baja California, Mexico",earthquake,,,,,reviewed,us,gcmt
2009-08-03T17:59:56.170Z,29.039,-112.903,10,6.9,mwc,243,35,,1.29,us,usp000gzyb,2017-04-13T22:23:44.390Z,"Sonora, Mexico",earthquake,,,,,reviewed,us,gcmt
